NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
A872982                  Cat       Domestic Shorthair                 Neutered Male       3.00      4.00      
Mercury                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Lily                     Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Elton                    Cat       Domestic Medium Hair               Neutered Male       1.00      2.00      
A873047                  Cat       Domestic Shorthair                 Spayed Female       12.00     13.00     
A873186                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Cheri                    Cat       Domestic Shorthair                 Spayed Female       7.00      8.00      
A873182                  Cat       Domestic Shorthair                 Spayed Female       2.00      3.00      
Belle Starr              Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Cotton                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Hercules                 Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Syd Barrett              Cat       Domestic Shorthair                 Neutered Male       7.00      8.00      
*Somersault              Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Rita                     Cat       Domestic Longhair                  Intact Female       1.00      2.00      
Kai                      Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
A872973                  Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
*Harriet                 Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Achilles                 Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
Sawyer                   Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Bubba                   Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Folklore                Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A873372                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Cheeto                   Cat       Domestic Shorthair Mix             Neutered Male       1.00      2.00      
A873500                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Beebop                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A873375                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A873526                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Harriet                  Cat       Domestic Shorthair                 Intact Female       1.00      2.00      
A873522                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Chanel                   Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
A873412                  Cat       Domestic Shorthair Mix             Spayed Female       1.00      2.00      
A873524                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Queso                   Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
Chiquito                 Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
